Service Name,Category,Type,Status,Domain,Description,Technology Stack,Port,Dependencies,Container Connections,Economic Value
accessibility,Core,Python,Placeholder,Universal,Accessibility compliance and tools,Python/FastAPI,TBD,auth-service,→ All domain services,0.001 CC per accessibility check
accounting-core,Business,Python,Active,businesslog.ai,Complete accounting system with GL and AR/AP,Python/FastAPI/SQLite,TBD,auth-service,→ payroll-hr → invoice-engine,0.01 CC per transaction
activelog-backend,Fitness,Python,Placeholder,activelog.ai,Athletic performance and fitness logging,Python/FastAPI/SQLite,TBD,auth-service,→ workout-tracking → nutrition-logging,0.005 CC per workout log
workout-tracking,Fitness,Python,Placeholder,activelog.ai,Workout session tracking and analytics,Python/FastAPI,TBD,activelog-backend,← activelog-backend → wearable-integration,0.003 CC per session
nutrition-logging,Fitness,Python,Placeholder,activelog.ai,Nutrition and dietary intake tracking,Python/FastAPI,TBD,activelog-backend,← activelog-backend → meal-planning,0.002 CC per meal log
wearable-integration,Fitness,Python,Placeholder,activelog.ai,Fitness tracker and wearable device integration,Python/FastAPI,TBD,workout-tracking,← workout-tracking → biometric-analysis,0.001 CC per data sync
performance-analytics,Fitness,Python,Placeholder,activelog.ai,Athletic performance analysis and optimization,Python/FastAPI,TBD,activelog-backend,← All fitness services → cross-domain-analytics,0.008 CC per analysis
activeLedger-compliance,FinTech,Python,Placeholder,SuperInstance,Regulatory compliance for trading,Python/FastAPI,TBD,auth-service,→ compute-capital-trading,0.005 CC per compliance check
activeledger-trading,FinTech,Python,Placeholder,ActiveLedger,Trading interface,Python/FastAPI,TBD,auth-service
activeledger,FinTech,Node.js,Placeholder,ActiveLedger,Core ActiveLedger blockchain platform,Node.js/Express,TBD,auth-service
ad-engine,Marketing,Node.js,Placeholder,Universal,Advertisement serving engine,Node.js/Express,TBD,auth-service
adaptive-ux,UX/UI,Python,Placeholder,Universal,Adaptive user experience optimization,Python/FastAPI/ML,TBD,auth-service
ads,Marketing,Python,Active,Universal,Advertisement management system,Python/FastAPI,TBD,auth-service
ai-connectors,AI/ML,Node.js,Placeholder,Universal,AI service integration connectors,Node.js/Express,TBD,auth-service
ai-observability,AI/ML,Python,Placeholder,Universal,AI model monitoring and observability,Python/FastAPI,TBD,auth-service
ai-optimizer,AI/ML,Python,Placeholder,Universal,AI performance optimization,Python/FastAPI,TBD,auth-service
ai-orchestrator,AI/ML,Python,Active,Universal,AI service orchestration platform,Python/FastAPI,TBD,auth-service
ai-receptionist,AI/ML,Python,Placeholder,Universal,AI-powered virtual receptionist,Python/FastAPI,TBD,auth-service
ai-tools,AI/ML,Mixed,Placeholder,Universal,Collection of AI utility tools,Mixed,TBD,auth-service
ai_orchestrator,AI/ML,Docker,Placeholder,Universal,Containerized AI orchestration,Docker,TBD,auth-service
ambient,UX/UI,Python,Placeholder,Universal,Ambient computing interface,Python/FastAPI,TBD,auth-service
analytics-platform,Analytics,Python,Placeholder,Universal,Comprehensive analytics platform,Python/FastAPI,TBD,auth-service
analytics,Analytics,Python,Active,Universal,Core analytics service,Python/FastAPI,TBD,auth-service
api-ecosystem,API,Python,Placeholder,Universal,API management ecosystem,Python/FastAPI,TBD,auth-service
api-gateway,API,Python,Active,SuperInstance,Central API gateway with routing,Python/FastAPI,8080,auth-service,→ All domain services (routing),0.0002 CC per routed request
api-monetization,API,Python,Placeholder,Universal,API monetization and billing,Python/FastAPI,TBD,auth-service
api_gateway,API,Docker,Placeholder,Universal,Containerized API gateway,Docker,TBD,auth-service
ar-layer,AR/VR,Mixed,Placeholder,Universal,Augmented reality interface layer,Mixed,TBD,auth-service
auth-service,Security,Python,Production,SuperInstance,JWT-based authentication service,Python/FastAPI/SQLite,8000,None,→ All services (authentication),0.0001 CC per auth request
auth,Security,Python,Active,SuperInstance,Extended authentication service,Python/FastAPI/SQLite,TBD,None,← auth-service (fallback),0.0001 CC per auth request
auto-improve-system,DevOps,Python,Active,Universal,Automated system improvement,Python/FastAPI,TBD,auth-service
auto-improve,DevOps,Node.js,Placeholder,Universal,Auto-improvement orchestrator,Node.js/Docker,TBD,auth-service
auto-scheduler,DevOps,Python,Active,Universal,Automated task scheduling,Python/FastAPI,TBD,auth-service
backup-dr,DevOps,Python,Placeholder,Universal,Backup and disaster recovery,Python/FastAPI,TBD,auth-service
backup,DevOps,Python,Placeholder,Universal,Data backup service,Python/FastAPI,TBD,auth-service
banking-service,FinTech,Python,Placeholder,Business,Banking integration service,Python/FastAPI,TBD,auth-service
batch-import,Data,Python,Placeholder,Universal,Batch data import processing,Python/FastAPI,TBD,auth-service
beta-platform,Platform,Docker,Placeholder,Universal,Beta testing platform,Docker,TBD,auth-service
beta-pricing,Business,Python,Active,Universal,Beta pricing and tier management,Python/FastAPI,TBD,auth-service
billing-dynamic,Business,Python,Placeholder,Universal,Dynamic billing system,Python/FastAPI,TBD,auth-service
biological,Science,Python,Placeholder,Science,Biological data integration,Python/FastAPI,TBD,auth-service
blockchain-integrity,Blockchain,Python,Placeholder,Universal,Blockchain data integrity,Python/FastAPI,TBD,auth-service
blockchain,Blockchain,Python,Placeholder,Universal,Core blockchain functionality,Python/FastAPI,TBD,auth-service
bot-ecosystem,AI/ML,Python,Active,Universal,Bot management ecosystem,Python/FastAPI,TBD,auth-service
bot-orchestrator,AI/ML,Python,Active,Universal,Bot orchestration platform,Python/FastAPI,TBD,auth-service
business-incubator,Business,Python,Active,Business,Startup incubation platform,Python/FastAPI/SQLite,TBD,auth-service
business-platform,Business,Python,Placeholder,Business,Business management platform,Python/FastAPI,TBD,auth-service
business-units,Business,Python,Active,Business,Business unit management,Python/FastAPI,TBD,auth-service
business-valuation,Business,Node.js,Placeholder,Business,Business valuation tools,Node.js/Express,TBD,auth-service
businesslog-wizard,Business,Node.js,Placeholder,Business,Business logging wizard,Node.js/Express,TBD,auth-service
cache,Infrastructure,Python,Active,SuperInstance,Distributed caching system,Python/Redis,6379,auth-service,← All services (caching),0.00005 CC per cache operation
capitaine,Gaming,Python,Placeholder,Gaming,Captain simulation game,Python/FastAPI,TBD,auth-service
career-sims,Education,Python,Placeholder,Education,Career simulation platform,Python/FastAPI,TBD,auth-service
cc-marketplace,FinTech,Python,Placeholder,Universal,Compute Capital marketplace,Python/FastAPI,TBD,auth-service
ccc-economy,FinTech,Python,Placeholder,Universal,Compute Capital economy engine,Python/FastAPI,TBD,auth-service
child-safety,Safety,Python,Placeholder,Universal,Child safety and monitoring,Python/FastAPI,TBD,auth-service
cli-interface,Interface,Python,Placeholder,Universal,Command line interface,Python/FastAPI,TBD,auth-service
cloud-infrastructure,Infrastructure,Python,Active,Universal,Cloud infrastructure management,Python/FastAPI/SQLite,TBD,auth-service
cocapn,Unknown,Python,Placeholder,Unknown,Unknown service functionality,Python/FastAPI,TBD,auth-service
code-director,DevOps,Python,Placeholder,Universal,Code management director,Python/FastAPI,TBD,auth-service
collaboration-sync,Collaboration,Python,Placeholder,Universal,Real-time collaboration sync,Python/FastAPI,TBD,auth-service
collaboration,Collaboration,Python,Placeholder,Universal,Collaboration tools,Python/FastAPI,TBD,auth-service
compute-exchange,FinTech,Node.js,Placeholder,Universal,Compute resource exchange,Node.js/Express,TBD,auth-service
compute-market,FinTech,Node.js,Placeholder,Universal,Compute Capital trading market,Node.js/TypeScript,TBD,auth-service
compute-sharing,FinTech,Python,Placeholder,Universal,Compute resource sharing,Python/FastAPI,TBD,auth-service
compute-tiers,FinTech,Python,Placeholder,Universal,Compute tier management,Python/FastAPI,TBD,auth-service
content-adaptation,Content,Node.js,Placeholder,Universal,Content adaptation engine,Node.js/TypeScript,TBD,auth-service
content-creator,Content,Node.js,Placeholder,Universal,Content creation tools,Node.js/Express,TBD,auth-service
content-economy,Content,Node.js,Placeholder,Universal,Content monetization economy,Node.js/Express,TBD,auth-service
cost-optimizer,FinTech,Node.js,Placeholder,Universal,Cost optimization service,Node.js/Express,TBD,auth-service
creative-suite,Creative,Mixed,Placeholder,Universal,Creative tools suite,Mixed,TBD,auth-service
crm-sales,Business,Python,Placeholder,Business,CRM and sales management,Python/FastAPI,TBD,auth-service
cross-app-orders,E-commerce,Node.js,Active,Universal,Cross-application ordering,Node.js/Express,TBD,auth-service
crypto-platform,FinTech,Node.js,Placeholder,FinTech,Cryptocurrency platform,Node.js/Express,TBD,auth-service
data-bridge,Data,Node.js,Placeholder,Universal,Data integration bridge,Node.js/Express,TBD,auth-service
data-export,Data,Python,Active,Universal,Data export and migration,Python/FastAPI,TBD,auth-service
data-manager,Data,Python,Active,Universal,Data management hub,Python/FastAPI,TBD,auth-service
data-mesh,Data,Python,Placeholder,Universal,Data mesh architecture,Python/FastAPI,TBD,auth-service
data-orchestrator,Data,Python,Active,Universal,Data processing orchestration,Python/FastAPI,TBD,auth-service
dev-productivity,DevOps,Python,Placeholder,Universal,Developer productivity tools,Python/FastAPI,TBD,auth-service
dev-sandbox,DevOps,Node.js,Active,Universal,Development sandbox environment,Node.js/Express,TBD,auth-service
director-terminal,Interface,Python,Placeholder,Universal,Director command terminal,Python/Flask,TBD,auth-service
disaster-recovery,DevOps,Python,Placeholder,Universal,Disaster recovery management,Python/FastAPI,TBD,auth-service
dmlog-ai-dm,Gaming,Python,Active,DMLog,AI Dungeon Master assistant,Python/FastAPI,TBD,auth-service
dmlog-battle,Gaming,Python,Active,DMLog,Battle management system,Python/FastAPI,TBD,auth-service
dmlog-character-builder,Gaming,Python,Active,DMLog,D&D character builder with AI,Python/FastAPI/SQLite,TBD,auth-service
dmlog-characters,Gaming,Python,Active,DMLog,Character management system,Python/FastAPI,TBD,auth-service
dmlog-converter,Gaming,Python,Placeholder,DMLog,Content format converter,Python/FastAPI,TBD,auth-service
dmlog-core,Gaming,Python,Active,DMLog,Core D&D logging service,Python/FastAPI,TBD,auth-service
dmlog-final,Gaming,Node.js,Active,DMLog,Final D&D session management,Node.js/Express,TBD,auth-service
dmlog-game-setup,Gaming,Python,Placeholder,DMLog,Game session setup,Python/FastAPI,TBD,auth-service
dmlog-gamedev,Gaming,Node.js,Active,DMLog,Game development tools,Node.js/TypeScript,TBD,auth-service
dmlog-instant,Gaming,Node.js,Placeholder,DMLog,Instant session creation,Node.js/Express,TBD,auth-service
dmlog-integration-hub,Gaming,Python,Placeholder,DMLog,Integration hub for D&D tools,Python/FastAPI,TBD,auth-service
dmlog-integration,Gaming,Python,Placeholder,DMLog,D&D tool integration,Python/FastAPI/SQLite,TBD,auth-service
dmlog-marketplace,Gaming,Python,Placeholder,DMLog,D&D content marketplace,Python/FastAPI,TBD,auth-service
dmlog-player,Gaming,Python,Active,DMLog,Player management system,Python/FastAPI,TBD,auth-service
dmlog-session-logger,Gaming,Python,Production,dmlog.ai,D&D session logging service,Python/FastAPI,TBD,auth-service,→ dmlog-character-builder → dmlog-world,0.008 CC per session log
dmlog-session,Gaming,Python,Active,DMLog,Session management core,Python/FastAPI,TBD,auth-service
dmlog-stream,Gaming,Node.js,Placeholder,DMLog,Live session streaming,Node.js/Express,TBD,auth-service
dmlog-templates,Gaming,Python,Placeholder,DMLog,Session and campaign templates,Python/FastAPI,TBD,auth-service
dmlog-visualizer,Gaming,Node.js,Placeholder,DMLog,Session data visualization,Node.js/Express,TBD,auth-service
dmlog-world-builder-v2,Gaming,Node.js,Active,DMLog,Advanced world building tools,Node.js/Express,TBD,auth-service
dmlog-world,Gaming,Python,Active,DMLog,World building and management,Python/FastAPI,TBD,auth-service
